ID	DOCULECT	CONCEPT	VALUE	TOKENS	LANGID	COGID	ALIGNMENT	CONCEPT_PORTUGUESE	CONCEPTICON_ID	CONCEPT_ORIGINAL_LISTS	SOURCE
27	Baniwa_Dzawinai	ASH	tidzemheni	t i dz e mʰ e n i	14	61	t i d z e mʰ e n i - - - -	cinza	646	ash	Bruzzi Alves da Silva 1961
49	Tariana_Bruzzi	ASH	kãdaɾi	k ã d a ɾ i	12	11		cinza	646	ash	Bruzzi Alves da Silva 1961
71	Koripako_aha	ASH	limale	l i m a l e	1	52		cinza	646	ash	Granadillo 2006
93	Koripako_ehe	ASH	limale	l i m a l e	3	52		cinza	646	ash	Granadillo 2006
115	Koripako_oho	ASH	paliapokoa	p a l i a p o k o a	10	27	- p a - - - l i a p o k o a -	cinza	646	ash	Granadillo 2006
127	Koripako_name	ASH	limale	l i m a l e	9	52		cinza	646	ash	Granadillo 2006
139	Werekena_Baniva	ASH	paɾitʃi	p a ɾ i tʃ i	13	27	- p a - - - ɾ i tʃ i - - - - -	cinza	646	ash	Bruzzi Alves da Silva 1961
310	Achagua	ASH	báali	b a: l i	1	27	- b a: - - - l i - - - - - - -		646	ash	Melendez 2011
432	Baniwa	ASH	-wádzole	w á dz o l e	2	2006	( w ) á dz o - - - - - - l e -		646	ash	Ramirez 2001
554	Baré	ASH		b a r i d i	3	27	- b a - - - r i d i - - - - -		646	ash	Oliveira 93
676	Kabiyari	ASH	pa'ari	p a ʔ a r i	4	27	- p a - ʔ a r i - - - - - - -		646	ash	Ramirez 2001
798	Piapoco	ASH	balìi	b a l ì i	5	27	- b a - - - l ì i - - - - - -		646	ash	Epps
920	Piapoco	ASH	ibalìiná	i b a l ì i n á	5	27	i b a - - - l ì i n á - - - -		646	ash	Epps
1042	Resigaro	ASH	ókóniigiJíhú	ó k ó n ii g i J í h ú	6	25			646	ash	Epps
1164	Tariana	ASH		k á d a l i	7	11			646	ash	Aikhenvald 2001
1288	Tariana	ASH		p á l i	7	27	- p á - - - l i - - - - - - -		646	ash	Aikhenvald 2001
1410	Yukuna	ASH	pai'ilá	p a i ʔ i l á	9	27	- p a i ʔ i l á - - - - - - -		646	ash	Epps
1532	Warekena	ASH		e ɾ i ɾ i	8	17	- - e - - ɾ i ɾ i - -		646	ash	Aikhenvald 2012
3282	Baniwa_Waliperidakenai	ASH	ʈidzɛheni	t i dz ɛ h e n i	11	61	t i d z ɛ h e n i - - - -	cinza	646	ash	Bruzzi Alves da Silva 1961
3304	Baniwa_Hohoodene	ASH	paɾiada	p a ɾ i a d a	4	27	- p a - - - ɾ i a d a - - - -	cinza	646	ash	Bruzzi Alves da Silva 1961
3326	Baniwa_Dzurema	ASH	paɽiada	p a ɽ i a d a	2	27	- p a - - - ɽ i a d a - - - -	cinza	646	ash	Bruzzi Alves da Silva 1961
3348	Baniwa_Mauliene	ASH	paɽi	p a ɽ i	8	27	- p a - - - ɽ i - - - - - - -	cinza	646	ash	Bruzzi Alves da Silva 1961
3370	Koripako_Kumadene	ASH	ɽiphienhen	ɽ i pʰ i e n # h e n	7	61	ɽ i - - - pʰ i e n # h e n	cinza	646	ash	Bruzzi Alves da Silva 1961
3392	Baniwa_Kowaidakenai	ASH	ɽĩːpeni	ɽ ĩː p e n i	5	61	ɽ ĩː - - - p e n i - - - -	cinza	646	ash	Bruzzi Alves da Silva 1961
5016	Kauixana	ASH	xitʃɨ-póko	ʃ i tʃ ɨ - p ó k o	15	21495	ʃ i tʃ ɨ - p ó k o	cinza			
28	Piapoco	BONE	api	a p i	5	108	- - - a p i - - - - - - -		946	bone	Epps
50	Resigaro	BONE	aápí	a á p í	6	108	- - a á p í - - - - - - -		946	bone	Epps
72	Tariana	BONE		d i j á p i	7	108	d i j á p i - - - - - - -		946	bone	Aikhenvald 2001
94	Tariana	BONE		d i ñ á p i	7	108	d i ñ á p i - - - - - - -		946	bone	Aikhenvald 2001
116	Yukuna	BONE	aphinámiji	a pʰ i n á m i h i	9	108	- - - a pʰ i - n á m i h i		946	bone	Epps
128	Warekena	BONE		n u ʃ i m a p i e	8	203	n u ʃ i m a p i e		946	bone	Aikhenvald 2012
1778	Baniwa_Waliperidakenai	BONE	ɽiapi	ɽ i a p i	11	108	- ɽ i a p i - - - - - - -	osso	1394	bone	Bruzzi Alves da Silva 1961
1780	Baniwa_Hohoodene	BONE	ɽiapi	ɽ i a p i	4	108	- ɽ i a p i - - - - - - -	osso	1394	bone	Bruzzi Alves da Silva 1961
1782	Baniwa_Mauliene	BONE	ɽiapi	ɽ i a p i	8	108	- ɽ i a p i - - - - - - -	osso	1394	bone	Bruzzi Alves da Silva 1961
1784	Koripako_Kumadene	BONE	ɽiapi	ɽ i a p i	7	108	- ɽ i a p i - - - - - - -	osso	1394	bone	Bruzzi Alves da Silva 1961
1786	Tariana_Kumadene	BONE	ljapipi	l j a p i p i	6	108	- l j a p i p i - - - - -	osso	1394	bone	Bruzzi Alves da Silva 1961
1788	Tariana_Bruzzi	BONE	ɲãpi	ɲ ã p i	12	108	- - ɲ ã p i - - - - - - -	osso	1394	bone	Bruzzi Alves da Silva 1961
1790	Koripako_aha	BONE	liapi	l i a p i	1	108	- l i a p i - - - - - - -	osso	1394	bone	Granadillo 2006
1792	Koripako_ehe	BONE	inapi	i n a p i	3	108	- i n a p i - - - - - - -	osso	1394	bone	Granadillo 2006
1794	Koripako_oho	BONE	liapi	l i a p i	10	108	- l i a p i - - - - - - -	osso	1394	bone	Granadillo 2006
1798	Koripako_name	BONE	liapi	l i a p i	9	108	- l i a p i - - - - - - -	osso	1394	bone	Granadillo 2006
1800	Werekena_Baniva	BONE	simati	s i m a t i	13	203	- - s i m a t i -	osso	1394	bone	Bruzzi Alves da Silva 1961
3327	Achagua	BONE	jáhiʃi	j a h i ʃ i	1	108	- - j a h i - ʃ i - - - -		1394	bone	Melendez 2011
3349	Baniwa	BONE	-áapi	á a p i	2	108	- - á a p i - - - - - - -		1394	bone	Ramirez 2001
3371	Baniwa	BONE		( i ) ñ i a p i	2	108	i ñ i a p i - - - - - - -		1394	bone	Ramirez 2001
3393	Kabiyari	BONE	japi	j a p i	4	108	- - j a p i - - - - - - -		1394	bone	Epps
5050	Kauixana	BONE	pí-mi-hi	p í- m i- h i	15	201	p í- m i- h i	osso			
6178	Yumana	BONE	pína	p í n a	16	201	p í n a	osso			Ramirez 2020
6180	Yumana	BONE	pi-mi	p i- m i	16	201	p i- m i	osso			Ramirez 2020
6269	Passé	BONE	pi	p i	17	201	p i	osso			Ramirez 2020
6273	Passé	BONE	pii-mi	p ii- m i	17	201	p ii- m i	osso			Ramirez 2020
29	Koripako_oho	HOT OR WARM	hamodale	h a m o d a l e	10	128	h a - m o d a l e	quente	2272	hot	Granadillo 2006
31	Koripako_name	HOT OR WARM	hamodali	h a m o d a l i	9	128	h a - m o d a l i	quente	2272	hot	Granadillo 2006
33	Werekena_Baniva	HOT OR WARM	atali	a t a l i	13	204	a t a ( l i - - )	quente	2272	hot	Bruzzi Alves da Silva 1961
2125	Achagua	HOT OR WARM	amuái	a m u a i	1	128	- a - m u - a - i		2272	hot	Melendez 2011
2127	Baniwa	HOT OR WARM	hámo	h á m o	2	128	h á - m o - - - -		2272	hot	Ramirez 2001
2129	Baré	HOT OR WARM		t a k a n i	3	204	- t a ( k a n i )		2272	hot	Oliveira 93
2133	Kabiyari	HOT OR WARM	muʔú	m u ʔ ú	4	128	- - - m u ʔ ú - -		2272	hot	Epps
2135	Piapoco	HOT OR WARM	ùuléeri	ù u l é: ɾ i	5	130	- - - - - - - ù - u l - é: ɾ i - - - - -		2272	hot	Epps
2137	Resigaro	HOT OR WARM	ha?mo?	h a ʔ m o ʔ	6	128	h a ʔ m o ʔ - - -		2272	hot	Epps
2139	Tariana	HOT OR WARM		h a m ú p e ɾ i	7	128	h a - m ú p e ɾ i		2272	hot	Aikhenvald 2001
2141	Yukuna	HOT OR WARM	imaʔaní	i m a ʔ a n í	9	194	- i m a ʔ a ( n í )		2272	hot	Schauer 2005
2143	Warekena	HOT OR WARM		k a m u ɾ u ɾ i	8	128	k a - m u ɾ u ɾ i		2272	hot	Aikhenvald 2012
3394	Baniwa_Waliperidakenai	HOT OR WARM	hamõ	h a m õ	11	128	h a - m õ - - - -	quente	2272	hot	Bruzzi Alves da Silva 1961
3396	Baniwa_Hohoodene	HOT OR WARM	hɐ̃mukani	h ɐ̃ m u k a n i	4	128	h ɐ̃ - m u k a n i	quente	2272	hot	Bruzzi Alves da Silva 1961
3398	Baniwa_Dzurema	HOT OR WARM	hamũdaɽi	h a m ũ d a ɽ i	2	128	h a - m ũ d a ɽ i	quente	2272	hot	Bruzzi Alves da Silva 1961
3400	Baniwa_Mauliene	HOT OR WARM	hamukani	h a m u k a n i	8	128	h a - m u k a n i	quente	2272	hot	Bruzzi Alves da Silva 1961
3402	Koripako_Kumadene	HOT OR WARM	hamuka	h a m u k a	7	128	h a - m u k a - -	quente	2272	hot	Bruzzi Alves da Silva 1961
3404	Baniwa_Kowaidakenai	HOT OR WARM	hamukani	h a m u k a n i	5	128	h a - m u k a n i	quente	2272	hot	Bruzzi Alves da Silva 1961
3406	Baniwa_Dzawinai	HOT OR WARM	hamo	h a m o	14	128	h a - m o - - - -	quente	2272	hot	Bruzzi Alves da Silva 1961
3408	Tariana_Bruzzi	HOT OR WARM	hamũmãwhã	h a m ũ m ã wʰ ã	12	128	h a - m ũ m ã wʰ ã	quente	2272	hot	Bruzzi Alves da Silva 1961
3410	Koripako_aha	HOT OR WARM	hamodali	h a m o d a l i	1	128	h a - m o d a l i	quente	2272	hot	Granadillo 2006
3412	Koripako_ehe	HOT OR WARM	haːmu	h aː m u	3	128	h aː - m u - - - -	quente	2272	hot	Granadillo 2006
5061	Kauixana	HOT OR WARM	maʔ-hɨ̃	m a ʔ- h ɨ̃	15	194	- - m a ʔ- - ( h ɨ̃ )	quente			
6183	Yumana	HOT OR WARM	sima	s i m a	16	194	s i m a - - ( - - )	quente			Ramirez 2020
6219	Passé	HOT OR WARM	ima	i m a	17	194	- i m a - - ( - - )	quente			Ramirez 2020
30	Resigaro	WHITE		_ ( b r a n c o ) _	6	941			1335	white	Epps
32	Tariana	WHITE		h a l í t e	7	129	h a - l í - t e - - -		1335	white	Aikhenvald 2001
34	Yukuna	WHITE	hareni	h a r e n i	9	129	h a - r e n i - - - -		1335	white	Schauer 2005
36	Warekena	WHITE		á ɾ i ɾ i	8	129	- á - ɾ i - ɾ i - - -		1335	white	Aikhenvald 2012
1560	Baniwa_Waliperidakenai	WHITE	haɽɛdaɽi	h a ɽ ɛ d a ɽ i	11	129	h a - ɽ ɛ d a ɽ i - -	branco	1335	white	Bruzzi Alves da Silva 1961
1561	Baniwa_Hohoodene	WHITE	haɽɛdaɽi	h a ɽ ɛ d a ɽ i	4	129	h a - ɽ ɛ d a ɽ i - -	branco	1335	white	Bruzzi Alves da Silva 1961
1562	Baniwa_Dzurema	WHITE	haɽɛdaɽi	h a ɽ ɛ d a ɽ i	2	129	h a - ɽ ɛ d a ɽ i - -	branco	1335	white	Bruzzi Alves da Silva 1961
1563	Baniwa_Mauliene	WHITE	haɽekani	h a ɽ e k a n i	8	129	h a - ɽ e k a n i - -	branco	1335	white	Bruzzi Alves da Silva 1961
1564	Koripako_Kumadene	WHITE	haɽedaɽi	h a ɽ e d a ɽ i	7	129	h a - ɽ e d a ɽ i - -	branco	1335	white	Bruzzi Alves da Silva 1961
1565	Tariana_Kumadene	WHITE	haɾenĩpɛ	h a ɾ e n ĩ p ɛ	6	129	h a - ɾ e n ĩ p ɛ - -	branco	1335	white	Bruzzi Alves da Silva 1961
1566	Baniwa_Kowaidakenai	WHITE	haːɽikani	h aː ɽ i k a n i	5	129	h aː - ɽ i k a n i - -	branco	1335	white	Bruzzi Alves da Silva 1961
1567	Baniwa_Dzawinai	WHITE	haːɽe	h aː ɽ e	14	129	h aː - ɽ e - - - - - -	branco	1335	white	Bruzzi Alves da Silva 1961
1568	Tariana_Bruzzi	WHITE	haɾɛmanʊ̃ka	h a ɾ ɛ m a n ʊ̃ k a	12	129	h a - ɾ ɛ m a n ʊ̃ k a	branco	1335	white	Bruzzi Alves da Silva 1961
1571	Koripako_aha	WHITE	haːledali	h aː l e d a l i	1	129	h aː - l e d a l i - -	branco	1335	white	Granadillo 2006
1572	Koripako_ehe	WHITE	haːle	h aː l e	3	129	h aː - l e - - - - - -	branco	1335	white	Granadillo 2006
1573	Koripako_oho	WHITE	haːledare	h aː l e d a ɾ e	10	129	h aː - l e d a ɾ e - -	branco	1335	white	Granadillo 2006
1574	Koripako_name	WHITE	haːledali	h aː l e d a l i	9	129	h aː - l e d a l i - -	branco	1335	white	Granadillo 2006
1575	Werekena_Baniva	WHITE	aɾiɾi	a ɾ i ɾ i	13	129	- a - ɾ i ɾ i - - - -	branco	1335	white	Bruzzi Alves da Silva 1961
3401	Achagua	WHITE	kabálai	k a b á l a i	1	943	k a b á l a i - -		1335	white	Melendez 2011
3403	Baniwa	WHITE	hále	h á l e	2	129	h á - l e - - - - - -		1335	white	Ramirez 2001
3407	Baré	WHITE		b a r i n i	3	943	- - b a r i - n i		1335	white	Oliveira 93
3409	Kabiyari	WHITE	katare:i-ri	k a t a r e: i r i	4	197			1335	white	Epps
3413	Piapoco	WHITE	cabalèeri	k a b a l è e ɾ i	5	943	k a b a l è e ɾ i		1335	white	Epps
5009	Kauixana	WHITE	kathí-si	k a th í- s i	15	197	k a th í- s i	branco			
6176	Yumana	WHITE	sa[h]re[-ju]	s a [h] r e [- j u ]	16	129	s a [h] r e [- j u ] - -	branco			Ramirez 2020
6280	Passé	WHITE	saaré	s aa r é	17	129	s aa - r é - - - - - -	branco			Ramirez 2020
6282	Passé	WHITE	saré-u	s a r é- u	17	129	s a - r é- u - - - - -	branco			Ramirez 2020
40	Achagua	WHO	tána	t á n a	1	198	t á n a - -		1235	who	Melendez 2011
42	Baniwa	WHO	kóaka	k ó a k a	2	1856	k ó a k a - - - - -		1235	who	Ramirez 2001
44	Baré	WHO		a b a d i	3	960	- a - - b a d i		1235	who	Oliveira 93
46	Kabiyari	WHO	mikha	m i kh a	4	950			1235	who	Epps
48	Kabiyari	WHO	arhi	a rh i	4	200	- a rh i - - - -		1235	who	Epps
52	Kabiyari	WHO	umha	u mʰ a	4	959			1235	who	Epps
54	Piapoco	WHO	càiná	k à i n á	5	947	k à i n á -		1235	who	Epps
56	Piapoco	WHO	cawiná	k a w i n á	5	947	k a w i n á		1235	who	Epps
58	Resigaro	WHO	kéení	k é e n í	6	947	k é e n í -		1235	who	H&R 1992
60	Tariana	WHO	kwana	k w a n a	7	947	k w a n a -		1235	who	Epps
62	Yukuna	WHO	najlo	n a h l o	9	955			1235	who	Epps
64	Warekena	WHO		d a tʃ i b a ɾ i	8	960	d a tʃ i b a ɾ i		1235	who	Aikhenvald 2012
66	Warekena	WHO		d a tʃ i b u ɾ e	8	960	d a tʃ i b u ɾ e		1235	who	Aikhenvald 2012
68	Warekena	WHO		d a m a ɾ i	8	199	d a - - m a ɾ i		1235	who	Aikhenvald 2012
1576	Baniwa_Waliperidakenai	WHO	koakeːna	k o a k eː n a	11	1856	k o a k eː n a - - -	quem	1235	who	Bruzzi Alves da Silva 1961
1577	Baniwa_Hohoodene	WHO	koamɛɽita	k o a m ɛ ɽ i t a	4	1856	k o a m ɛ - ɽ i t a	quem	1235	who	Bruzzi Alves da Silva 1961
1578	Baniwa_Dzurema	WHO	koaka	k o a k a	2	1856	k o a k a - - - - -	quem	1235	who	Bruzzi Alves da Silva 1961
1579	Baniwa_Mauliene	WHO	koaka	k o a k a	8	1856	k o a k a - - - - -	quem	1235	who	Bruzzi Alves da Silva 1961
1580	Koripako_Kumadene	WHO	koamehewi	k o a m e h e w i	7	1856	k o a m e h e w i -	quem	1235	who	Bruzzi Alves da Silva 1961
1583	Baniwa_Kowaidakenai	WHO	kwaẽ	kʷ a ẽ	5	1856	kʷ a ẽ - - - - - - -	quem	1235	who	Bruzzi Alves da Silva 1961
1584	Baniwa_Dzawinai	WHO	kwamelita	kʷ a m e l i t a	14	1856	kʷ a - m e - l i t a	quem	1235	who	Bruzzi Alves da Silva 1961
1585	Tariana_Bruzzi	WHO	hĩː	h ĩː	12	1863		quem	1235	who	Bruzzi Alves da Silva 1961
1586	Koripako_aha	WHO	kuka	k u k a	1	1856	k u - k a - - - - -	quem	1235	who	Granadillo 2006
1587	Koripako_ehe	WHO	kuakahlia	k u a k a h l i a	3	1856	k u a k a h l i a -	quem	1235	who	Granadillo 2006
1588	Koripako_oho	WHO	koaka	k o a k a	10	1856	k o a k a - - - - -	quem	1235	who	Granadillo 2006
1589	Koripako_name	WHO	koka	k o k a	9	1856	k o - k a - - - - -	quem	1235	who	Granadillo 2006
1590	Werekena_Baniva	WHO	ɛstahɐ̃	ɛ s t a h ɐ̃	13	1864		quem	1235	who	Bruzzi Alves da Silva 1961
70	Achagua	WOMAN	íinetoo	í i n e t oo	1	147	í i n e - - t oo - -		962	woman	Melendez 2011
74	Achagua	WOMAN	íina	í i n a	1	147	í i n a - - - - - -		962	woman	Melendez 2011
76	Baniwa	WOMAN	íinaro	í i n a r o	2	147	í i n a - - r o - -		962	woman	Ramirez 2001
78	Baré	WOMAN		h i n a tʃ a t i	3	147	h i n a - - tʃ a t i		962	woman	Oliveira 93
80	Kabiyari	WOMAN	nanáwí	n a n á w í	4	1920	n a n á w í - - - -		962	woman	Epps
82	Piapoco	WOMAN	inanái	i n a n á i	5	147	- i n a - - n á i -		962	woman	Epps
84	Resigaro	WOMAN	ináadó	i n á a d ó	6	147	- i n á a - d ó - -		962	woman	Epps
86	Tariana	WOMAN		í n a ɾ u	7	147	- í n a - - ɾ u - -		962	woman	Aikhenvald 2001
88	Yukuna	WOMAN	inanaru	i n a n a ɾ u	9	147	- i n a n a ɾ u - -		962	woman	Epps
90	Warekena	WOMAN		n e j a w a	8	1920	n e j a w a - - - -		962	woman	Aikhenvald 2012
1650	Baniwa_Waliperidakenai	WOMAN	iːnaʐo	iː n a ʐ o	11	147	- iː n a - - ʐ o - -	mulher	962	woman	Bruzzi Alves da Silva 1961
1651	Baniwa_Hohoodene	WOMAN	inaʐo	i n a ʐ o	4	147	- i n a - - ʐ o - -	mulher	962	woman	Bruzzi Alves da Silva 1961
1652	Baniwa_Dzurema	WOMAN	iːnaʐo	iː n a ʐ o	2	147	- iː n a - - ʐ o - -	mulher	962	woman	Bruzzi Alves da Silva 1961
1657	Baniwa_Mauliene	WOMAN	iːnaʐo	iː n a ʐ o	8	147	- iː n a - - ʐ o - -	mulher	962	woman	Bruzzi Alves da Silva 1961
1658	Koripako_Kumadene	WOMAN	inaʐu	i n a ʐ u	7	147	- i n a - - ʐ u - -	mulher	962	woman	Bruzzi Alves da Silva 1961
1659	Baniwa_Kowaidakenai	WOMAN	inaɽu	i n a ɽ u	5	147	- i n a - - ɽ u - -	mulher	962	woman	Bruzzi Alves da Silva 1961
1660	Baniwa_Dzawinai	WOMAN	inaʐo	i n a ʐ o	14	147	- i n a - - ʐ o - -	mulher	962	woman	Bruzzi Alves da Silva 1961
1661	Tariana_Bruzzi	WOMAN	inaɾu	i n a ɾ u	12	147	- i n a - - ɾ u - -	mulher	962	woman	Bruzzi Alves da Silva 1961
1662	Koripako_aha	WOMAN	iːnaro	iː n a ɾ o	1	147	- iː n a - - ɾ o - -	mulher	962	woman	Granadillo 2006
1663	Koripako_ehe	WOMAN	inaro	i n a ɾ o	3	147	- i n a - - ɾ o - -	mulher	962	woman	Granadillo 2006
1664	Koripako_oho	WOMAN	inaro	i n a ɾ o	10	147	- i n a - - ɾ o - -	mulher	962	woman	Granadillo 2006
1665	Koripako_name	WOMAN	liːno	l iː n o	9	119		mulher	962	woman	Granadillo 2006
1666	Werekena_Baniva	WOMAN	nejawa	n e j a w a	13	1920	n e j a w a - - - -	mulher	962	woman	Bruzzi Alves da Silva 1961
5041	Kauixana	WOMAN	pɨtʃɨwála	p ɨ [tʃ] ɨ w á l a	15	21615	p ɨ [tʃ] ɨ w á l a	mulher			
6128	Yumana	WOMAN	jabujú	j a b u j ú	16	207	j a b u j ú	mulher			Ramirez 2020
6133	Yumana	WOMAN	ʃupujú	ʃ u p u j ú	16	207	ʃ u p u j ú	mulher			Ramirez 2020
6135	Yumana	WOMAN	ʃapuijú	ʃ a p ui j ú	16	207	ʃ a p ui j ú	mulher			Ramirez 2020
6245	Passé	WOMAN	daunamú	d au n a m ú	17	1920	- - d - au - n a m ú	mulher			Ramirez 2020
6249	Passé	WOMAN	lawenami	l a w e n a m i	17	1920	- - l a w e n a m i	mulher			Ramirez 2020
89	Baniwa_Waliperidakenai	I	nʰuɐ̃	nʰ u ɐ̃	11	1		eu	1209	i	Bruzzi Alves da Silva 1961
91	Baniwa_Dzurema	I	nʰoa	nʰ o a	2	1		eu	1209	i	Bruzzi Alves da Silva 1961
95	Baniwa_Mauliene	I	nʰoa	nʰ o a	8	1		eu	1209	i	Bruzzi Alves da Silva 1961
97	Tariana_Bruzzi	I	nuhã	n u h ã	12	1		eu	1209	i	Bruzzi Alves da Silva 1961
99	Koripako_aha	I	nʰoa	nʰ o a	1	1		eu	1209	i	Granadillo 2006
101	Koripako_ehe	I	nʰua	nʰ u a	3	1		eu	1209	i	Granadillo 2006
103	Koripako_oho	I	nʰua	nʰ u a	10	1		eu	1209	i	Granadillo 2006
105	Koripako_name	I	nʰoa	nʰ o a	9	1		eu	1209	i	Granadillo 2006
107	Koripako_Kumadene	I	nʰoa	nʰ o a	11	1		eu	1209	i	Bruzzi Alves da Silva 1961
2145	Achagua	I	nujá	n u j a	1	1			1209	I	Melendez 2011
2147	Baniwa	I	nhóa	nʰ ó a	2	1			1209	I	Ramirez 2001
2149	Baré	I		n u	3	1			1209	I	Oliveira 93
2151	Kabiyari	I	nhú	nʰ ú	4	1			1209	I	Epps
2155	Kabiyari	I	nu-	n u	4	1			1209	I	Epps
2157	Piapoco	I	núa	n ú a	5	1			1209	I	Epps
2159	Resigaro	I	ó	ó	6	6			1209	I	Epps
2161	Tariana	I	nuha	n u h a	7	1			1209	I	Epps
2163	Yukuna	I	nuká	n u k á	9	1			1209	I	Schauer 2005
2165	Warekena	I		n u j a	8	1			1209	I	Aikhenvald 2012
5026	Kauixana	I	nowá	n o w á	15	1	n o w á	eu			
6167	Yumana	I	telanohó	t e l a n o h ó	16	1	t e l a n o h ó	eu			Ramirez 2020
6172	Yumana	I	mɨthe-háing	m ɨ tʰ e- h ái ng	16	212	m ɨ tʰ e- h ái ng	eu			Ramirez 2020
6251	Passé	I	noo	n oo	17	1	n oo	eu			Ramirez 2020
92	Achagua	YELLOW	meréekii	m e r ee k ii	1	971			1424	yellow	Melendez 2011
96	Baniwa	YELLOW	éewa	é e w a	2	1932	- - é e w a - - - -		1424	yellow	Ramirez 2001
98	Baré	YELLOW		w i t u	3	23	- - - - - - - - w i t u		1424	yellow	Oliveira 93
100	Kabiyari	YELLOW	karawa-ri	k a r a w a r i	4	1932	k a r a w a r i - -		1424	yellow	Epps
102	Piapoco	YELLOW	é(e)wa	é ( e ) w a	5	1932	- - é e w a - - - -		1424	yellow	Epps
104	Piapoco	YELLOW	éewéeri	é: w é: ɾ i	5	1932	- - - é: w é: ɾ i - -		1424	yellow	Epps
106	Resigaro	YELLOW	dogíiga?é?	d o g í i g a ʔ é ʔ	6	976			1424	yellow	Epps
108	Tariana	YELLOW		e w í t e	7	1932	- - - e w í t e - -		1424	yellow	Aikhenvald 2001
110	Yukuna	YELLOW	hewani	h e w a n i	9	1932	- - h e w a n i - -		1424	yellow	Schauer 2005
112	Warekena	YELLOW		p u ɾ e b a ɾ u	8	213			1424	yellow	Aikhenvald 2012
114	Warekena	YELLOW		t é w a ɾ i	8	1932	- - t é w a ɾ i - -		1424	yellow	Aikhenvald 2012
1687	Baniwa_Waliperidakenai	YELLOW	ɛwadaɽi	ɛ w a d a ɽ i	11	1932	- - - ɛ w a d a ɽ i	amarelo	1424	yellow	Bruzzi Alves da Silva 1961
1688	Baniwa_Hohoodene	YELLOW	ɛwadali	ɛ w a d a l i	4	1932	- - - ɛ w a d a l i	amarelo	1424	yellow	Bruzzi Alves da Silva 1961
